country_of_origin,region,altitude,company
Guatemala,santa rosa,4000,"unex guatemala, s.a."
Indonesia,sapan toraja,1500,pt. shriya artha nusantara
Guatemala,el progreso,518,"unex guatemala, s.a."
Taiwan,"台南市東山區( dongshan dist., tainan city)",650,taiwan coffee laboratory
El Salvador,cacahuatique,1250,soc. coop. de caf. de ciudad barrios de r.l.
China,menglian,1500,yunnan coffee exchange
Malawi,mzuzu,1442 m,mzuzu coffee planters coop union
Colombia,huila,1.65,coffee export
Colombia,antioquia,1300,the coffee source inc.
Mexico,chiapas,1550,cesmach s.c.
Mexico,veracruz,1200,
Mexico,atoyac de alvarez,1200,cafe shunuc
Colombia,south huila,1400 thru 1850,ecom cca s.a.
Panama,boquete,1100,hacienda la esmeralda
Laos,"paksong,laos",1300,宸嶧國際
El Salvador,"el balsamo, quezaltepec",1200,consejo salvadoreño del café
Mexico,veracruz,1300,finca kassandra
Brazil,monte carmelo,,bourbon specialty coffees
"Tanzania, United Republic Of",karatu arusha,1700,nitin coffee estate
"Tanzania, United Republic Of",mbinga,1550,taylor winch (t) ltd
Taiwan,嘉義阿里山,1200公尺,宸嶧國際
Mexico,la yerba,1296,productos y servicios chilindron s.a. de c.v.
Uganda,mt elgon,1400- 1900,afca
Taiwan,chiayi alishan 嘉義縣阿里山鄉,1240 m,blossom valley宸嶧國際
Thailand,phahi,1500,"coffeas co., ltd"
El Salvador,,,atlantic specialty coffee
Guatemala,antigua,1500,finca medina
Mexico,,1100,cafe montegrande
Mexico,mahuixtlan,950,grupo cafetalero los brujos
Colombia,52 narino (exact location: mattituy; municipal region: florida code 381,1800 meters (5900,
Colombia,,,
Taiwan,國姓鄉 guoshing township,1050,taiwan coffee laboratory
Brazil,south of minas,,volcafe ltda.
Taiwan,changhua baguashan 彰化市八卦山,200 m,宸嶧國際
Indonesia,aceh,1200-1300m dpl,pt. sari makmur tunggal mandiri
Thailand,chiangrai,1400-1500 m,"coffeas co., ltd"
"Tanzania, United Republic Of",ikand village,1317,tembo coffee company ltd
Mexico,veracruz,,sustainable harvest
Guatemala,,,s&d coffee and tea
Mexico,oaxaca,1250,
Mexico,colima,1150,organizaciones de productores de cafe colimense sa de cv
Brazil,south of minas,900-1050m,
Indonesia,bali,1250,pt. shriya artha nusantara
Honduras,comayagua,1400,cigrah
"Tanzania, United Republic Of",karatu arusha,1600,shah plantations
"Tanzania, United Republic Of",moshi,,amkeni gourmet coffee group
Mexico,chiapas,1500-1700m,lusso coffee lab
Mexico,san bartolo tutotepec,1679,
Mexico,zapotitlan de mendez,1100,cafe de la sierra norte de puebla
Mexico,la concordia,1650,finca santa cruz
Guatemala,oriente,,"waelti schoenfeld exportadores de cafe, s.a."
Honduras,"comayagua, honduras",1500,carrillo cooperativa
Guatemala,santa rosa,,asociación nacional del café - anacafe -
Colombia,guayata,1600,racafe & cia s.c.a
China,yunnan,1600,yunnan coffee exchange
"Tanzania, United Republic Of",arusha meru,2285,tawoca
Peru,peru,huanuco,sustainable harvest
Honduras,,,s&d coffee and tea
Mexico,chiapas,1560,cesmach s.c.
Mexico,san pedro cotzilnam,1400,carajillo café sa de cv
Mexico,coatepec,1300,
Mexico,zihuatanejo de azueta,1300,
Mexico,veracruz,1350,
Mexico,xicotepec de juarez,1150,
Mexico,progreso santa rosa teocelo,1250,
Mexico,fln mirador,1450,finca las nieves
Brazil,south of minas,,nucoffee
Colombia,huila,1750 m.s.n.m,
Honduras,comayagua,1396,cigrah s.a de c.v
Brazil,cerrado,982,olam
Brazil,cerrado,,volcafe ltda.
Costa Rica,tarrazu,1550,panamerican coffee trading
China,xishuangbanna prefecture,1580,yunnan coffee exchange
Brazil,south of minas,1268,ipanema coffees
Guatemala,huehuetenango,5500 metros,exportcafe
Malawi,mzuzu,1450 m,mzuzu coffee planters coop union
Brazil,south of minas,1100,ipanema coffees
Taiwan,changhua baguashan 彰化市八卦山,200 m,blossom valley宸嶧國際
Taiwan,taichung xinshe 台中市新社區,600 m,blossom valley宸嶧國際
Costa Rica,central valley,,"f. gaviña & sons, inc."
Guatemala,jalapa,5500-6000 psnm,finca el morito
Mexico,"jaltocan, hidalgo",441,
Mexico,veracruz,1170,finca los barreales
Mexico,santa catarina juquila,1200 a 1400,eczcafe fino s.a. de c.v.
Brazil,south of minas,950m,nucoffee
Guatemala,nuevo oriente,1450,mercon guatemala s.a.
El Salvador,apaneca,1500,consejo salvadoreño del café
Honduras,marcala,1350,cadexsa
Malawi,mzuzu,1180m,mzuzu coffee planters coop union
Taiwan,nantou,650 m,blossom valley宸嶧國際
Mexico,veracruz,1338,
Mexico,"calnali, hidalgo",533,
Guatemala,antigua,4563,"siembras vision, s.a. / ing. jorge bolaños"
Mexico,juquila,1250,
Mexico,veracruz,1100,
Mexico,canoas,900,organizaciones de productores de cafe colimense sa de cv
Brazil,,,nucoffee
"Tanzania, United Republic Of",ruvuma,1500-1800,tawoca
"Tanzania, United Republic Of",northern,1600,ibero tanzania
Guatemala,atitlan,1500,essence coffee
Brazil,cerrado,,bourbon specialty coffees
"Tanzania, United Republic Of","ilomba vilage, mbozi",1700,tembo coffee company ltd
Mexico,"la concordia, chiapas",1200-1600m,lusso coffee lab
Taiwan,yunlin 雲林縣石壁,1200 m,blossom valley宸嶧國際
Taiwan,"dongshan dist., tainan city 臺南市東山區",800 m,"red on tree co., ltd."
Mexico,san bartolo tutotepec,1144,
Guatemala,oriente,1350,the coffee source inc.
Mexico,altotonga,1000,
Mexico,colima,1200,organizaciones de productores de cafe colimense sa de cv
Indonesia,aceh gayo,1300,pt. shriya artha nusantara
Costa Rica,tres rios,1200-1400 masl,"cafetalera internacional cafinter, s.a."
"Tanzania, United Republic Of",kilimanjaro,1500,volcafe/taylorwinch tanzania ltd
"Tanzania, United Republic Of",ngorogoro,1500 - 1700,ngorogoro convenant estate
Colombia,,,cafe politico
Costa Rica,turrialba,1.3,"ceca,s.a."
Mexico,tapachula,1800,indigenas de la sierra madre de motozintla san isidro labrador s. de s.s.
Mexico,coatepec,1250,
Mexico,veracruz,1250,
Colombia,cauca,1600 msnm,
Honduras,el paraíso,1600,cigrah s.a de c.v
Honduras,guinope el paraíso,1600,cigrah s.a de c.v
Brazil,south of minas,944,ipanema coffees
"Tanzania, United Republic Of",kilimanjaro,1500-1800,tawoca
Laos,lao p.d.r.,1250m,kettles coffee roasters
"Tanzania, United Republic Of",meru,1300- 1400,finca estate
Malawi,mzuzu,2500m,mzuzu coffee planters coop union
Taiwan,"dongshan dist., tainan city 臺南市東山區",600m,"red on tree co., ltd."
Honduras,occidental,1400 m.s.n.m.,beneficio santa rosa s.a.
Taiwan,"dongshan dist., tainan city 臺南市東山區",600-700 m,"red on tree co., ltd."
Mexico,coscomatepec,940,
Brazil,cerrado,1050m,nucoffee
Guatemala,san marcos,,"elfasa, s.a."
Brazil,monte carmelo,1020,volcafe ltda.
Guatemala,nuevo oriente,1300 a 1800 mtrs. a nivel del mar,asociación nacional del café - anacafe -
"Tanzania, United Republic Of",mbeya,1877,mcomafa co. ltd
Nicaragua,,,volcafe specialty coffee
Zambia,mubuyu estate,1000-1500m,lusso coffee lab
Honduras,,,thrive farmers
Mexico,"chapulhuacan, hidalgo",981,
Mexico,"huazalingo, hidalgo",690,
Mexico,veracruz,1650,
Colombia,cundinamarca,1600 m.s.n.m,
Guatemala,oriente,518,"unex guatemala, s.a."
Brazil,monte carmelo,973,volcafe ltda.
Indonesia,bali,1250,pt. olam indonesia
Myanmar,ywar ngan,4001,
Mexico,chiapas,1350-1500,agroindustrias unidas de mexico sa de cv
Honduras,marcala,1400 msnm,cadexsa
Taiwan,"dongshan dist., tainan city 臺南市東山區",700m,taiwan coffee laboratory
Indonesia,lington nihuta,1300m,essence coffee
Malawi,kakoma,1556m,mzuzu coffee planters coop union
Mexico,"siltepec el triunfo, chiapas, mexico",1550 meters,globus coffee
Colombia,huila,de 1.600 a 1950 msnm,racafe & cia s.c.a
Mexico,veracruz,1500,
Brazil,cerrado,900-950m,
Colombia,huila,1600-1800 msnm,
Vietnam,vietnam,1040,"sunvirtue co., ltd."
Brazil,,,cafe politico
