country_of_origin,region,altitude,company
Guatemala,acatenango,1600,"waelti schoenfeld exportadores de cafe, s.a."
Guatemala,oriente,1400-1900 psn,"unex guatemala, s.a."
Guatemala,"chuva, san marcos",3500 - 5200 feet,
Guatemala,santa rosa,1800,mercon guatemala s.a.
Guatemala,santa rosa,4000,"unex guatemala, s.a."
Guatemala,el progreso,518,"unex guatemala, s.a."
Guatemala,"chuva, san marcos",3500-5200 feet,
Guatemala,antigua,,lusso coffee lab
Guatemala,antigua,1500,finca medina
Guatemala,occidente,1320,"unex guatemala, s.a."
Guatemala,huehuetenango,3664,exportcafe
Guatemala,huehuetenango,1400 msm,the coffee source inc.
Guatemala,oriente,1901.64,"unex guatemala, s.a."
Guatemala,nuevo oriente,4400-4700 ft,
Guatemala,oriente,4000psn,"unex guatemala, s.a."
Guatemala,acatenango,5000,sertrasa
Guatemala,nuevo oriente,,"unex guatemala, s.a."
Guatemala,norte,3280,"unex guatemala, s.a."
Guatemala,atitlan,1400 mts,the coffee source inc.
Guatemala,solola,1565,cafcom
Guatemala,oriente,4000 psnm,outspan guatemala s.a.
Guatemala,oriente,4000,"unex guatemala, s.a."
Guatemala,san marcos,4500,"agricola nueva granada, s.a."
Guatemala,"san lucas toliman, solola",1550 mts.,cafcom
Guatemala,huehuetenango,1700m,essence coffee
Guatemala,"sacatepequez, guatemala",5000 f,"siembras vision, s.a."
Guatemala,oriente,4000 p.s.n.m,outspan guatemala s.a.
Guatemala,huehuetenango,3702,exportcafe
Guatemala,"sacatepequez, guatemala",5000,"siembras vision, s.a."
Guatemala,oriente,1450,the coffee source inc.
Guatemala,huehuetenango,4451 metros,exportcafe
Guatemala,huehuetenango,6100 metros,exportcafe
Guatemala,oriente,4000 p.s.n.m.,outspan guatemala s.a.
Guatemala,quetzaltenango,1300 mts,the coffee source inc.
Guatemala,santa rosa,1500,"peter schoelfeld, s.a"
Guatemala,huehuetenango,4540 metros,exportcafe
Guatemala,orient,1200,the coffee source inc.
Guatemala,santa rosa,,"unex guatemala, s.a."
Guatemala,huehuetenango,190164,"unex guatemala, s.a."
Guatemala,huehuetenango,5440 - 5760 metros,exportcafe
Guatemala,oriente,4000 psn,"unex guatemala, s.a."
Guatemala,oriente,4600 ft.,coffee resources inc.
Guatemala,oriente,1400,the coffee source inc.
Guatemala,oriente,1350,the coffee source inc.
Guatemala,"la reforma, san marcos",4500,"nuevos mercados, s.a."
Guatemala,,,volcafe specialty coffee
Guatemala,oriente,518,"unex guatemala, s.a."
Guatemala,guatemala,,unicafe
Guatemala,antigua,1500 msnm,"siembras vision, s.a."
Guatemala,san marcos,,"elfasa, s.a."
Guatemala,"aldea xeucalvitz, ixil region, quiche department",1550,lusso coffee lab
Guatemala,atitlan,5000,kanematsu corporation / rnp santo tomas pachuj
Guatemala,nuevo oriente,1300 a 1800 mtrs. a nivel del mar,asociación nacional del café - anacafe -
Haiti,haiti,~1000 meters,haiti coffee
Haiti,"thiotte, haiti",4200 feet,itiah coffee llc.
Haiti,"department d'artibonite , haiti",~350m,haiti coffee
Haiti,marmelade,640m-1400m,
Haiti,"dondon, haiti",400-1250m,haiti coffee
Honduras,marcala,1400 msn,cadexsa
Honduras,western region,1200,molinos de honduras
Honduras,"siguatepeque, comayagua",1450 masl,cigrah s.a de c.v
Honduras,comayagua,1400,cigrah
Honduras,,,s&d coffee and tea
Honduras,marcala,1400 msnm,cadexsa
Honduras,ocotepeque,1650,coffee planet corporation s.a
Honduras,el paraíso,1600,cigrah s.a de c.v
Honduras,san marcos,1350 snn,"olam honduras, s.a."
Honduras,,,thrive farmers
Honduras,comayagua,1396,cigrah s.a de c.v
Honduras,marcala,1350,cadexsa
